"","GEOID","NAME","med_rentE","med_rentM","no_bedE","no_bedM","one_bedE","one_bedM","med_rent_percE","med_rent_percM","two_bedE","two_bedM","three_bedE","three_bedM","four_bedE","four_bedM","five_bedE","five_bedM"
"140","10005050703","Census Tract 507.03, Sussex County, Delaware",1082,215,NA,NA,720,203,49.6,17.6,925,472,1344,200,NA,NA,NA,NA
"141","10005050705","Census Tract 507.05, Sussex County, Delaware",1005,123,NA,NA,NA,NA,51,NA,NA,NA,969,119,NA,NA,NA,NA
"142","10005050704","Census Tract 507.04, Sussex County, Delaware",NA,NA,NA,NA,NA,NA,24.7,4.5,717,18,1404,138,NA,NA,NA,NA
"143","10005050706","Census Tract 507.06, Sussex County, Delaware",1357,109,NA,NA,NA,NA,28.8,9.4,NA,NA,1229,318,NA,NA,NA,NA
"144","10005050901","Census Tract 509.01, Sussex County, Delaware",1485,308,NA,NA,NA,NA,23.7,7.5,1515,370,1533,351,NA,NA,NA,NA
"145","10005050902","Census Tract 509.02, Sussex County, Delaware",1060,324,NA,NA,NA,NA,25.1,7.8,1025,356,888,834,NA,NA,NA,NA
"146","10005051004","Census Tract 510.04, Sussex County, Delaware",1193,588,NA,NA,NA,NA,26.8,9.4,832,405,1595,319,2250,654,NA,NA
"147","10005051005","Census Tract 510.05, Sussex County, Delaware",1507,277,NA,NA,NA,NA,27.1,24.9,1156,184,1412,82,NA,NA,NA,NA
"148","10005051006","Census Tract 510.06, Sussex County, Delaware",1135,277,NA,NA,NA,NA,51,NA,1122,76,1724,700,NA,NA,NA,NA
"149","10005051007","Census Tract 510.07, Sussex County, Delaware",1459,221,NA,NA,NA,NA,51,NA,1573,290,1414,743,NA,NA,NA,NA
"150","10005051101","Census Tract 511.01, Sussex County, Delaware",1182,142,NA,NA,NA,NA,40.8,18.8,1284,144,958,220,NA,NA,NA,NA
"151","10005051102","Census Tract 511.02, Sussex County, Delaware",1210,118,NA,NA,1208,212,26.3,6.5,1150,51,1650,262,1550,730,NA,NA
"152","10005051103","Census Tract 511.03, Sussex County, Delaware",1630,761,NA,NA,783,238,23.7,7.6,1531,735,1717,68,NA,NA,NA,NA
"153","10005051201","Census Tract 512.01, Sussex County, Delaware",1338,407,NA,NA,NA,NA,35.4,9.9,950,19,1380,113,NA,NA,NA,NA
"154","10005051202","Census Tract 512.02, Sussex County, Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","10005051702","Census Tract 517.02, Sussex County, Delaware",967,69,NA,NA,NA,NA,31.1,4.1,969,92,793,312,NA,NA,NA,NA
"156","10005051900","Census Tract 519, Sussex County, Delaware",852,36,NA,NA,637,101,31.4,3.3,895,177,895,89,1259,183,NA,NA
"157","10005050602","Census Tract 506.02, Sussex County, Delaware",1105,111,NA,NA,NA,NA,46.5,13.9,1093,32,1293,136,863,748,NA,NA
"158","10005051801","Census Tract 518.01, Sussex County, Delaware",599,498,NA,NA,294,158,33.5,19.1,879,211,NA,NA,NA,NA,NA,NA
"159","10005050302","Census Tract 503.02, Sussex County, Delaware",836,162,NA,NA,NA,NA,23.8,4.2,718,104,1056,354,NA,NA,NA,NA
"160","10005050701","Census Tract 507.01, Sussex County, Delaware",972,110,NA,NA,553,356,35.3,12,926,117,1072,180,NA,NA,NA,NA
"161","10005051301","Census Tract 513.01, Sussex County, Delaware",1130,297,NA,NA,NA,NA,19.8,5.4,1268,157,949,290,NA,NA,NA,NA
"162","10005051302","Census Tract 513.02, Sussex County, Delaware",1225,301,NA,NA,NA,NA,24.7,8.5,NA,NA,1267,512,NA,NA,NA,NA
"163","10005051701","Census Tract 517.01, Sussex County, Delaware",748,187,NA,NA,NA,NA,19.9,7.4,871,478,708,158,NA,NA,NA,NA
"164","10005051802","Census Tract 518.02, Sussex County, Delaware",799,270,NA,NA,671,374,32.8,4.6,793,264,791,357,1257,174,NA,NA
"165","10005050103","Census Tract 501.03, Sussex County, Delaware",1229,84,NA,NA,NA,NA,23.1,2.7,1160,51,1304,170,NA,NA,NA,NA
"166","10003010800","Census Tract 108, New Castle County, Delaware",1310,138,NA,NA,1206,250,23.2,3.8,1513,165,NA,NA,NA,NA,NA,NA
"167","10003010900","Census Tract 109, New Castle County, Delaware",1609,443,NA,NA,NA,NA,51,NA,NA,NA,1602,401,NA,NA,NA,NA
"168","10003012400","Census Tract 124, New Castle County, Delaware",1132,149,NA,NA,698,157,30.1,11.2,1060,113,1443,188,NA,NA,NA,NA
"169","10003011100","Census Tract 111, New Castle County, Delaware",1435,169,700,243,945,104,23.1,4.9,1328,171,1724,67,2154,154,NA,NA
"170","10003011202","Census Tract 112.02, New Castle County, Delaware",1146,51,NA,NA,NA,NA,24.7,45.2,NA,NA,NA,NA,NA,NA,NA,NA
"171","10003011800","Census Tract 118, New Castle County, Delaware",1378,90,NA,NA,1249,120,25.5,3.3,1415,130,2139,1046,NA,NA,NA,NA
"172","10003013400","Census Tract 134, New Castle County, Delaware",817,136,NA,NA,NA,NA,32.1,34.7,801,151,1669,186,NA,NA,NA,NA
"173","10003013613","Census Tract 136.13, New Castle County, Delaware",1396,154,NA,NA,1164,263,27.2,13,1328,119,1698,93,1688,928,NA,NA
"174","10003014402","Census Tract 144.02, New Castle County, Delaware",1500,357,NA,NA,1050,114,39.6,19.6,1220,160,1645,270,2513,741,NA,NA
"175","10003014501","Census Tract 145.01, New Castle County, Delaware",1152,68,NA,NA,877,526,51,NA,1228,429,2063,392,1625,1249,3250,1495
"176","10003014805","Census Tract 148.05, New Castle County, Delaware",1693,96,NA,NA,NA,NA,18.9,6.1,NA,NA,1673,139,NA,NA,NA,NA
