"","GEOID","NAME","med_incE","med_incM","med_fE","med_fM","hh_incE","hh_incM","tot_hhE","tot_hhM","renter_householdersE","renter_householdersM","tot_pop_rentE","tot_pop_rentM","tot_huE","tot_huM","pop_huE","pop_huM","popTotEE","popTotEM"
"57","10003013903","Census Tract 139.03, New Castle County, Delaware",42475,3129,NA,NA,1548,55,1548,55,352,190,352,190,1609,28,5122,352,5122,352
"58","10003013904","Census Tract 139.04, New Castle County, Delaware",44757,6548,79375,31227,3208,132,3208,132,3754,881,3754,881,3308,91,8302,735,8306,736
"59","10003014809","Census Tract 148.09, New Castle County, Delaware",42625,5773,NA,NA,2991,169,2991,169,1664,462,1664,462,3177,50,7686,634,7700,634
"60","10005051203","Census Tract 512.03, Sussex County, Delaware",49417,7358,NA,NA,325,46,325,46,0,12,0,12,2523,38,624,91,624,91
"61","10005051204","Census Tract 512.04, Sussex County, Delaware",58831,4663,NA,NA,341,38,341,38,4,5,4,5,3152,40,589,81,589,81
"62","10005051205","Census Tract 512.05, Sussex County, Delaware",44464,7266,NA,NA,374,40,374,40,24,16,24,16,1909,43,716,76,716,76
"63","10005051305","Census Tract 513.05, Sussex County, Delaware",30912,2737,NA,NA,1750,132,1750,132,745,204,755,208,3036,161,3472,262,3490,263
"64","10005051306","Census Tract 513.06, Sussex County, Delaware",35673,5245,NA,NA,1481,133,1481,133,271,112,281,117,3566,100,2831,256,2831,256
"65","10005990000","Census Tract 9900, Sussex County, Delaware",NA,NA,NA,NA,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"66","10003014404","Census Tract 144.04, New Castle County, Delaware",41192,4139,142250,97862,1866,115,1866,115,1151,322,1160,323,1927,91,4370,370,4370,370
"67","10003014903","Census Tract 149.03, New Castle County, Delaware",28382,6441,124167,92941,2373,124,2373,124,4230,1050,4277,1055,2543,126,8204,912,8211,911
"68","10003000300","Census Tract 3, New Castle County, Delaware",28841,5114,NA,NA,1144,91,1144,91,1404,398,1417,403,1347,55,2995,328,3000,328
