"","GEOID","NAME","rent_30_10kE","rent_30_10kM","rent_35_10kE","rent_35_10kM","rent_40_10kE","rent_40_10kM","rent_50_10kE","rent_50_10kM","rent_30_20kE","rent_30_20kM","rent_35_20kE","rent_35_20kM","rent_40_20kE","rent_40_20kM","rent_50_20kE","rent_50_20kM","rent_30_35kE","rent_30_35kM","rent_35_35kE","rent_35_35kM","rent_40_35kE","rent_40_35kM","rent_50_35kE","rent_50_35kM","rent_30_50kE","rent_30_50kM","rent_35_50kE","rent_35_50kM","rent_40_50kE","rent_40_50kM","rent_50_50kE","rent_50_50kM","rent_30_75kE","rent_30_75kM","rent_35_75kE","rent_35_75kM","rent_40_75kE","rent_40_75kM","rent_50_75kE","rent_50_75kM"
"207","10001042202","Census Tract 422.02, Kent County, Delaware",0,17,0,17,6,10,42,58,0,17,0,17,0,17,22,27,0,17,0,17,2,4,106,111,6,10,0,17,143,112,17,26,28,42,0,17,0,17,0,17
"208","10001043100","Census Tract 431, Kent County, Delaware",0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,21,1,2,0,12,0,12,6,11,0,12,0,12,0,12,0,12,0,12,3,6,0,12,0,12
"209","10001040201","Census Tract 402.01, Kent County, Delaware",0,12,0,12,0,12,49,55,0,12,0,12,0,12,82,65,25,26,31,30,26,27,25,20,12,19,6,11,0,12,0,12,0,12,24,29,0,12,0,12
"210","10001041600","Census Tract 416, Kent County, Delaware",0,12,0,12,0,12,20,30,6,8,0,12,0,12,0,12,0,12,0,12,12,14,46,34,21,25,7,11,0,12,0,12,0,12,0,12,0,12,0,12
"211","10001042100","Census Tract 421, Kent County, Delaware",0,12,0,12,0,12,10,13,0,12,0,12,0,12,58,59,0,12,10,16,48,60,11,16,5,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"212","10001043000","Census Tract 430, Kent County, Delaware",0,17,0,17,0,17,117,101,76,92,0,17,0,17,93,113,0,17,29,48,0,17,20,34,57,59,33,41,0,17,0,17,75,105,67,61,0,17,0,17
"213","10001041702","Census Tract 417.02, Kent County, Delaware",0,12,0,12,0,12,21,34,0,12,0,12,0,12,19,31,19,27,0,12,62,57,0,12,0,12,0,12,0,12,0,12,31,44,0,12,0,12,0,12
"214","10001040202","Census Tract 402.02, Kent County, Delaware",0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,56,91,38,59,0,19,112,76,17,27,0,19,0,19,41,58,35,54,0,19,0,19,0,19
"215","10001040203","Census Tract 402.03, Kent County, Delaware",0,17,0,17,0,17,54,52,0,17,36,41,42,70,87,99,0,17,29,48,14,22,0,17,13,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17
"216","10001040900","Census Tract 409, Kent County, Delaware",0,12,0,12,0,12,33,31,44,53,11,16,9,15,115,72,50,59,20,22,0,12,7,25,0,12,17,34,11,17,0,12,0,12,0,12,0,12,0,12
"217","10001041300","Census Tract 413, Kent County, Delaware",0,12,8,12,0,12,105,56,24,39,0,12,4,8,90,64,6,10,2,4,31,31,21,21,6,9,0,12,5,8,6,10,5,7,0,12,0,12,0,12
"218","10001041701","Census Tract 417.01, Kent County, Delaware",0,17,0,17,0,17,49,46,0,17,0,17,16,18,15,18,11,19,0,17,24,35,58,74,3,8,0,17,0,17,0,17,8,9,56,66,0,17,0,17
